start_station_name,total_rides
Public Rack - Pulaski Rd & Grenshaw St,3
Michigan Ave & 113th St,3
Public Rack - W. Talcott & N. Oriole,3
Public Rack - Calumet Ave & 71st St,3
Public Rack - Western Blvd & 52nd St,3
Shields Ave & 57th St,3
Vincennes Ave & 95th St,3
Public Rack - McVicker & 52nd,3
Public Rack - Damen & 87th,3
Lavergne Ave & 44th St,3
Public Rack - Halsted St & 94th St,3
Public Rack - Ashland Ave & 46th St,3
Public Rack - Western Ave & 98th St,3
Public Rack - Avers Ave & Archer Ave,3
Public Rack - Christiana Ave & 55th St,3
Public Rack - Mt Greenwood Library - South,3
Public Rack - William J Onahan Public School,3
Public Rack - Peterson Ave & Bernard Ave,3
Public Rack - Avenue J & 112th St,3
Public Rack - Harlem & Summerdale,3
Public Rack - Sangamon St & 79th St,3
Public Rack - 61st St & Melvina Ave,3
Public Rack - Western Blvd & 53rd St,3
Public Rack - Cottage Grove & 84th St,3
Public Rack - Leoti Ave & Central Ave (south),3
Public Rack - Hiawatha Park,3
Public Rack - Homan & 79th,3
Public Rack - 2302 S Pulaski Rd,3
Public Rack - Mason Ave & Roosevelt Rd,3
Public Rack - Ashland Ave & 83rd St,3
Public Rack - Fairfield Ave & 63rd St,3
Public Rack - Harlem and W. 59th,3
Public Rack - Ingleside Ave & 79th St,3
Public Rack - Kenneth Ave & 63rd St E,3
Public Rack - Cottage Grove Ave & 87th St,3
Loomis St & 95th St,2
Public Rack - Mason & Archer,2
Public Rack - Keeler Ave & 26th St,2
Public Rack - Prairie Ave & 85th St,2
Public Rack - Devon Ave & Kinzua Ave,2
Public Rack - Parnell Ave & 103rd St,2
Public Rack - Lake Park Ave & 47th St,2
Public Rack - Washtenaw Ave & 63rd St,2
Public Rack - Ashland Ave & 45th St  S,2
Public Rack - Eggleston Ave & 115th St,2
Public Rack - Central Ave & Congress Pkwy,2
Public Rack - Cottage Grove Ave & 89th Pl,2
Public Rack - Devon Ave & Minnehaha Ave (east),2
Public Rack - Cicero Ave & Le Moyne St - midblock,2
Public Rack - Calumet Ave & 103rd St,2
Public Rack - Vincennes Ave & 87th St,2
Public Rack - Muskegon Ave & 89th St,2
Public Rack - May St & 78th St,2
Public Rack - 63rd & Western Ave N,2
Public Rack - Grand Ave & Lawndale Ave,2
Throop St & 99th St,2
Public Rack - Rockwell Ave & 71st St,2
Public Rack - Springfield & 71st,2
Public Rack - St Louis & 83rd,2
Public Rack - Roswell B. Mason Elementary School,2
Public Rack - Austin Branch Chicago Public Library,2
Public Rack - New England Ave & Grace St,2
Public Rack - Piotrowski Park,2
Public Rack - Green St & 103rd St,2
Public Rack - Longwood Dr & 111th St,2
Public Rack - Kedzie Ave & 83rd St,2
Public Rack - Mason Ave & Milwaukee Ave,2
SCOOTERS CLASSIC - 2132 W Hubbard ST,2
Public Rack - Parnell Ave & 98th St,2
Public Rack - Racine Ave & 83rd St,2
Public Rack - Western Ave & 116th St,2
Public Rack - Cottage Grove Ave & 75th St,2
Public Rack - Newcastle Ave & Wellington Ave,2
Ada St & 113th Place,2
Spaulding Ave & 16th,2
Public Rack - Normandy Ave & Raven St,2
Public Rack - Miami Ave & Milwaukee Ave,2
Public Rack - S. New England/ W. 65th,2
Public Rack - Wilbur Wright College North,2
Public Rack - Princeton Ave & 99th Pl,2
Public Rack - Marquette Ave & 79th St,2
Public Rack - Western Ave & 106th St - West,2
Western Ave & 101st St,2
Public Rack - Hermitage & 83rd St,2
Public Rack - Rockwell & 111th St,2
Public Rack - Bensley Ave & 103rd St,2
Public Rack - Western Ave & 107th St,2
Public Rack - Lotus Ave & Harrison St,2
Public Rack - Menard Ave & Madison St,2
Public Rack - Newcastle Ave & Belmont Ave,2
Public Rack - Cottage Grove Ave & 111th St,2
Public Rack - Albany Ave & 103rd St,2
Public Rack - N Sayre Ave & W Belden Ave,2
Public Rack - Homewood Ave & Monterey Ave,2
Public Rack - Hale Ave & 111th St,2
Public Rack - Wolcott Ave & 56th St,2
Narragansett Ave & North Ave,2
Public Rack - Devon Ave & Minnehaha Ave (west),2
Public Rack - Austin & 62nd,2
Public Rack - Ewing Ave & 105th St,2
Public Rack - Ashland Ave & 45th St,2
Public Rack - Vincennes Ave & 99th St,2
Public Rack - Pittsburgh Ave & Irving Park,2
Public Rack - Ozman & Talcott,2
Public Rack - Latrobe Ave & Lake St,2
Public Rack - Michigan Ave & 102nd St,2
Halsted St & 83rd St,2
Public Rack - Neola & Northwest Hwy,2
Public Rack - Zapata Academy,2
Public Rack - East End Ave & 87th St,2
Aberdeen St & 103rd St,2
Public Rack - Houston Ave & 91st St,2
Public Rack - California Ave & Pershing Rd,2
Public Rack - Jeffery Blvd & 81st St,2
Public Rack - Oakley Ave & 50th Pl,2
Public Rack - Peoria St & 60th St,2
Public Rack - 63rd & Western Ave S,2
Public Rack - 53rd St & Indiana Ave,2
Public Rack - Osceola Ave & Touhy Ave,2
Public Rack - Lafayette Ave & 87th St - NW,2
Public Rack - Sacramento Blvd & Washington Blvd,2
Public Rack - Franklin Park,2
Public Rack - Spencer Elementary Technology Academy,2
Public Rack - Pulaski Rd & 40th St,2
Public Rack - Western Ave & 104th St - West,2
Public Rack - Lowe Ave & 94th St,2
Public Rack - Independence Blvd & Roosevelt,2
Public Rack - Strohacker Park,1
Public Rack - Baker Ave & 863rd Pl,1
Public Rack - Perry Ave & 108th Pl,1
Public Rack - Corliss Ave & 103rd St,1
Public Rack - Mt Greenwood Library N,1
Public Rack - Ewing Ave & 106th St NW,1
Public Rack - New England Ave & Irving Park Rd,1
Public Rack - Morgan St & 103rd St,1
Public Rack - Damen Ave & 84th St,1
Public Rack - Hamilton Park,1
Public Rack - James Madison School,1
Public Rack - Fullerton Ave & Lavergne Ave,1
Public Rack - Northwest Hwy & Raven St,1
Public Rack - Artesian & 71st,1
Public Rack - Loomis St & 87th St,1
Public Rack - May St & 63rd St,1
Public Rack - Ellis Ave & 132nd Pl,1
Public Rack - Michigan Ave & 125th Pl,1
Public Rack - Ewing Ave & 95th St,1
Public Rack - 83rd Pl & Kedzie Ave S,1
Public Rack - Cottage Grove Ave & 91st St,1
Public Rack - Sawyer Ave & 111th St,1
Public Rack - Eggleston Ave & 92nd St,1
Public Rack - Lake Park Ave & 44th St,1
Public Rack - Ewing Ave & 102nd St,1
Oketo Ave & Addison,1
Public Rack - Troy & 71st,1
Public Rack - California & 87th,1
Public Rack - Mackinaw Ave & 106th St,1
Public Rack - Wabash Ave & 87th St,1
Public Rack - King Dr & 83rd St,1
Public Rack - Lafayette Ave & 87th St SW,1
Public Rack - Linder Ave & 51st St,1
Public Rack - La Moyne Ave and Leamington Ave,1
Public Rack - Ewing Ave & 106th St,1
Spaulding Ave & 63rd St,1
Eggleston Ave & 115th St,1
Public Rack - Aida Food Market,1
Public Rack - Damen Ave & 80th St,1
Public Rack - Calumet Ave & 133rd St,1
Public Rack - Mason Ave & Archer Ave,1
Public Rack - Trumbull Ave & 111th St,1
Public Rack - Albany Ave & 111th St - NW,1
Public Rack - Kilbourn Ave & Fullerton Ave,1
Public Rack - Park Manor Elementary School,1
Public Rack - California Ave & Touhy Ave - midblock,1
Public Rack - Halsted St & 77th St,1
Public Rack - Albany Ave & 63rd St,1
Public Rack - Kildare Ave & 63rd St,1
Public Rack - Michigan Ave & 121st St,1
Public Rack - Roscoe St & Osceola Ave,1
Glenlake Ave & Pulaski Rd,1
Public Rack - Lawndale & 63rd St,1
Public Rack - Lamon Ave & Erie St,1
Public Rack - Kedzie Ave & 54th Pl,1
Public Rack - Loomis Blvd & 83rd St,1
Public Rack - Saginaw Ave & 93rd St,1
Public Rack - Oglesby Ave & 105th St,1
Public Rack - Michigan Ave & 110th St,1
Public Rack - Pulaski Rd & Lexington St,1
Halsted St & 123rd St,1
Menard Ave & Milwaukee Ave,1
Public Rack - Brainerd Park,1
Cumberland Ave & Catherine Ave,1
Public Rack - Sacramento & 71st,1
Public Rack - Tuley (Murray) Park,1
Public Rack - Union Ave & 111th St,1
Public Rack - Kedzie Ave & 61st Pl W,1
Public Rack - Parnell Ave & 119th St,1
Public Rack - Mackinaw Ave & 108th St,1
Public Rack - Lafayette Ave & 119th St,1
Public Rack - Yale Ave & 119th St,1
Public Rack - Wallace St & 112 St,1
Public Rack - Percy Julian HS,1
Public Rack - Lowe Ave & 98th St,1
Public Rack - Torrence Ave  & 106th St,1
Public Rack - Canty Elementary School,1
Public Rack - Orville T Bright School,1
Public Rack - Lawndale Ave & Roosevelt,1
Lynch Ave & Elston Ave,1
Public Rack - Avenue O & 118th St,1
Public Rack - Keef Ave & South Chicago Ave,1
Public Rack - Calumet Ave & Garfield Blvd,1
Public Rack - Central Park Ave & 16th St,1
Public Rack - Wallace St & 119th St,1
Laflin St & 115th St,1
Public Rack - Damen & 81st,1
Public Rack - Ada St & 117th St,1
Public Rack - Marquette Rd & 67th St,1
Public Rack - Menard Ave & Leland Ave,1
Public Rack - Torrence Ave & 103rd St,1
Public Rack - Vincennes Ave & 91st St,1
Public Rack - Oleander Ave & Addison St,1
Public Rack - Northwest Hwy & Highland Ave,1
Public Rack - Sacramento Ave & Greenleaf Ave,1
Public Rack - Al Raby School,1
Public Rack - Burnside Academy,1
Public Rack - Rhodes Ave & 79th St,1
Public Rack - Keeler Ave & 55th St,1
Public Rack - Bishop St & 81st St,1
Public Rack - Ada St & 119th St,1
Public Rack - Pullman Community Center,1
Parnell Ave & 127th St,1
Public Rack - Horner & 85th,1
Public Rack - McCormick Blvd & Devon Ave,1
Public Rack - Springfield Ave & 63rd St,1
Public Rack - Kedvale Ave & Addison St,1
Public Rack - Grand Ave & North Ave,1
Public Rack - Maryland Ave & 87th ST,1
NEW HASTINGS ,1
Public Rack - Plainfield Ave & Irving Park Rd,1
Public Rack - Eggleston Ave & 114th St,1
Public Rack - Racine Ave & 76th,1
Public Rack - Michigan Ave & 67th St,1
Public Rack - Waller Ave & Chicago Ave,1
Public Rack - Stony Island Ave & 86th St,1
Public Rack - William Rainey Harper High School,1
