start_station_name,total_rides
Public Rack - Kostner Ave & Diversey Ave,112
Hale Ave & 107th St,111
Lowell Ave & Armitage,111
21st St & Pulaski Rd,110
Dan Ryan Woods & 83rd St,108
Weekend Night Parking Area D,108
Halsted St & 69th St,107
Western Ave & 104th St,107
Public Rack - Drake Ave & Leland Ave,107
Public Rack - Kinzua Ave & Devon Ave,107
Halsted St & 78th St,105
Komensky Ave & 55th St,105
California Ave & Madison St,105
Cicero Ave & Grace St,104
Kostner Ave & Devon Ave,104
Monticello Ave & Chicago Ave,104
Big Marsh Park,102
Lawler Ave & 50th St,102
Mango Ave & Diversey Ave,102
Meade Ave & Fullerton Ave,102
Ashland Ave & 66th St,98
Bernard St & Peterson Ave,98
Wood St & 33rd St,97
Houston Ave & 92nd St,97
Meade Ave & Addison St,97
Meade Ave & Diversey Ave,97
Ewing Ave & Burnham Greenway,97
Narragansett Ave & McLean Ave,97
Summit Ave & 86th St,96
Laramie Ave & Addison St,96
Sacramento Ave & 25th St,96
Pershing Rd & Sacramento Ave,95
Avenue O & 118th St,94
Woodlawn Ave & 75th St,93
Public Rack - Jensen Park,93
Springfield Ave & 71st St,93
Burnham Greenway & 105th St,93
Public Rack - Milwaukee Ave & Culyer Ave,93
Kedzie Ave & 52nd St,92
Oglesby Ave & 100th St,92
Harding Ave & Chicago Ave,92
Harding Ave & Division St,92
California Ave & Marquette Rd,92
Public Rack - Kimbark Ave & 63rd St,92
Harlem & Irving Park,91
Pulaski Rd & Lake St,90
Karlov Ave & Madison St,90
California Ave & 41st St,90
Mozart St & Jackson Blvd,90
Pulaski Rd & 54th St,89
Rockwell St & 57th St,89
Komensky Ave & 47th St,89
Central Park Ave & 24th St,89
Laramie Ave & Kinzie St,88
Calumet Park,87
Richmond St & 59th St,87
Tripp Ave & 65th St,86
Kildare Ave & 26th St,86
Public Rack - Rockwell Ave & Touhy Ave ,86
Columbus Ave & 79th St,85
Maplewood Ave & 59th St,85
Public Rack - Lowell Ave & Elston Ave,85
Public Rack - Pulaski Rd & Armitage Ave,85
Peterson/Ridge Metra,84
Western Ave & 43rd St,84
Commercial Ave & 130th St,84
Weekend Night Parking Area C,84
